Round,Winning Number,Winning Color,Red Bet Win,Black Bet Win,Even Bet Win,Odd Bet Win,Zero Bet Win
66,9,Red,1,0,0,1,0
67,4,Black,0,1,1,0,0
68,20,Black,0,1,1,0,0
69,20,Black,0,1,1,0,0
70,22,Black,0,1,1,0,0
71,35,Black,0,1,0,1,0
72,24,Black,0,1,1,0,0
73,6,Black,0,1,1,0,0
74,21,Red,1,0,0,1,0
75,1,Red,1,0,0,1,0
76,32,Red,1,0,1,0,0
77,28,Black,0,1,1,0,0
78,0,Green,0,0,0,0,1
79,36,Red,1,0,1,0,0
80,0,Green,0,0,0,0,1
81,15,Black,0,1,0,1,0
82,27,Red,1,0,0,1,0
83,1,Red,1,0,0,1,0
84,10,Black,0,1,1,0,0
85,30,Red,1,0,1,0,0
86,10,Black,0,1,1,0,0
87,27,Red,1,0,0,1,0
88,31,Black,0,1,0,1,0
89,1,Red,1,0,0,1,0
90,7,Red,1,0,0,1,0
91,34,Red,1,0,1,0,0
92,12,Red,1,0,1,0,0
93,21,Red,1,0,0,1,0
94,7,Red,1,0,0,1,0
95,4,Black,0,1,1,0,0
96,22,Black,0,1,1,0,0
97,34,Red,1,0,1,0,0
98,22,Black,0,1,1,0,0
99,14,Red,1,0,1,0,0
100,19,Red,1,0,0,1,0
101,16,Red,1,0,1,0,0
102,32,Red,1,0,1,0,0
103,33,Black,0,1,0,1,0
104,29,Black,0,1,0,1,0
105,26,Black,0,1,1,0,0
106,4,Black,0,1,1,0,0
107,24,Black,0,1,1,0,0
108,12,Red,1,0,1,0,0
109,33,Black,0,1,0,1,0
110,26,Black,0,1,1,0,0
111,32,Red,1,0,1,0,0
112,7,Red,1,0,0,1,0
113,1,Red,1,0,0,1,0
114,9,Red,1,0,0,1,0
115,33,Black,0,1,0,1,0
116,11,Black,0,1,0,1,0
117,18,Red,1,0,1,0,0
118,17,Black,0,1,0,1,0
119,3,Red,1,0,0,1,0
120,26,Black,0,1,1,0,0
121,31,Black,0,1,0,1,0
122,0,Green,0,0,0,0,1
123,34,Red,1,0,1,0,0
124,20,Black,0,1,1,0,0
125,0,Green,0,0,0,0,1
126,9,Red,1,0,0,1,0
127,31,Black,0,1,0,1,0
128,3,Red,1,0,0,1,0
129,30,Red,1,0,1,0,0
130,22,Black,0,1,1,0,0
131,28,Black,0,1,1,0,0
132,31,Black,0,1,0,1,0
133,19,Red,1,0,0,1,0
134,25,Red,1,0,0,1,0
135,6,Black,0,1,1,0,0
136,1,Red,1,0,0,1,0
137,36,Red,1,0,1,0,0
138,1,Red,1,0,0,1,0
139,5,Red,1,0,0,1,0
140,31,Black,0,1,0,1,0
141,29,Black,0,1,0,1,0
142,21,Red,1,0,0,1,0
143,1,Red,1,0,0,1,0
144,5,Red,1,0,0,1,0
145,29,Black,0,1,0,1,0
146,3,Red,1,0,0,1,0
147,21,Red,1,0,0,1,0
148,14,Red,1,0,1,0,0
149,13,Black,0,1,0,1,0
150,12,Red,1,0,1,0,0
151,25,Red,1,0,0,1,0
152,31,Black,0,1,0,1,0
153,24,Black,0,1,1,0,0
154,2,Black,0,1,1,0,0
155,19,Red,1,0,0,1,0
156,32,Red,1,0,1,0,0
157,2,Black,0,1,1,0,0
158,32,Red,1,0,1,0,0
159,9,Red,1,0,0,1,0
160,36,Red,1,0,1,0,0
161,3,Red,1,0,0,1,0
162,29,Black,0,1,0,1,0
163,16,Red,1,0,1,0,0
164,32,Red,1,0,1,0,0
165,22,Black,0,1,1,0,0
166,14,Red,1,0,1,0,0
167,18,Red,1,0,1,0,0
168,1,Red,1,0,0,1,0
169,16,Red,1,0,1,0,0
170,29,Black,0,1,0,1,0
171,17,Black,0,1,0,1,0
172,24,Black,0,1,1,0,0
173,6,Black,0,1,1,0,0
174,15,Black,0,1,0,1,0
175,4,Black,0,1,1,0,0
176,12,Red,1,0,1,0,0
177,34,Red,1,0,1,0,0
178,10,Black,0,1,1,0,0
179,23,Red,1,0,0,1,0
180,8,Black,0,1,1,0,0
181,26,Black,0,1,1,0,0
182,12,Red,1,0,1,0,0
183,24,Black,0,1,1,0,0
184,28,Black,0,1,1,0,0
185,6,Black,0,1,1,0,0
186,34,Red,1,0,1,0,0
187,21,Red,1,0,0,1,0
188,15,Black,0,1,0,1,0
189,32,Red,1,0,1,0,0
190,36,Red,1,0,1,0,0
191,33,Black,0,1,0,1,0
192,24,Black,0,1,1,0,0
193,28,Black,0,1,1,0,0
194,3,Red,1,0,0,1,0
195,20,Black,0,1,1,0,0
196,3,Red,1,0,0,1,0
197,2,Black,0,1,1,0,0
198,18,Red,1,0,1,0,0
199,15,Black,0,1,0,1,0
200,13,Black,0,1,0,1,0
201,4,Black,0,1,1,0,0
202,5,Red,1,0,0,1,0
203,9,Red,1,0,0,1,0
204,32,Red,1,0,1,0,0
205,25,Red,1,0,0,1,0
206,9,Red,1,0,0,1,0
207,9,Red,1,0,0,1,0
208,35,Black,0,1,0,1,0
209,33,Black,0,1,0,1,0
210,22,Black,0,1,1,0,0
211,19,Red,1,0,0,1,0
212,35,Black,0,1,0,1,0
213,23,Red,1,0,0,1,0
214,4,Black,0,1,1,0,0
215,30,Red,1,0,1,0,0
216,5,Red,1,0,0,1,0
217,10,Black,0,1,1,0,0
218,31,Black,0,1,0,1,0
219,34,Red,1,0,1,0,0
220,15,Black,0,1,0,1,0
221,36,Red,1,0,1,0,0
222,18,Red,1,0,1,0,0
223,32,Red,1,0,1,0,0
224,16,Red,1,0,1,0,0
225,2,Black,0,1,1,0,0
226,8,Black,0,1,1,0,0
227,15,Black,0,1,0,1,0
228,36,Red,1,0,1,0,0
229,1,Red,1,0,0,1,0
230,32,Red,1,0,1,0,0
231,7,Red,1,0,0,1,0
232,12,Red,1,0,1,0,0
233,33,Black,0,1,0,1,0
234,1,Red,1,0,0,1,0
235,32,Red,1,0,1,0,0
236,18,Red,1,0,1,0,0
237,20,Black,0,1,1,0,0
238,11,Black,0,1,0,1,0
239,18,Red,1,0,1,0,0
240,13,Black,0,1,0,1,0
241,33,Black,0,1,0,1,0
242,8,Black,0,1,1,0,0
243,35,Black,0,1,0,1,0
244,36,Red,1,0,1,0,0
245,20,Black,0,1,1,0,0
246,36,Red,1,0,1,0,0
247,4,Black,0,1,1,0,0
248,3,Red,1,0,0,1,0
249,19,Red,1,0,0,1,0
250,28,Black,0,1,1,0,0
251,0,Green,0,0,0,0,1
252,19,Red,1,0,0,1,0
253,5,Red,1,0,0,1,0
254,19,Red,1,0,0,1,0
255,24,Black,0,1,1,0,0
256,9,Red,1,0,0,1,0
257,24,Black,0,1,1,0,0
258,23,Red,1,0,0,1,0
259,4,Black,0,1,1,0,0
260,9,Red,1,0,0,1,0
261,2,Black,0,1,1,0,0
262,17,Black,0,1,0,1,0
263,19,Red,1,0,0,1,0
264,3,Red,1,0,0,1,0
265,26,Black,0,1,1,0,0
266,20,Black,0,1,1,0,0
267,16,Red,1,0,1,0,0
268,2,Black,0,1,1,0,0
269,11,Black,0,1,0,1,0
270,11,Black,0,1,0,1,0
271,34,Red,1,0,1,0,0
272,29,Black,0,1,0,1,0
273,24,Black,0,1,1,0,0
274,2,Black,0,1,1,0,0
275,17,Black,0,1,0,1,0
276,31,Black,0,1,0,1,0
277,9,Red,1,0,0,1,0
278,24,Black,0,1,1,0,0
279,5,Red,1,0,0,1,0
280,6,Black,0,1,1,0,0
281,12,Red,1,0,1,0,0
282,17,Black,0,1,0,1,0
283,30,Red,1,0,1,0,0
284,35,Black,0,1,0,1,0
285,21,Red,1,0,0,1,0
286,18,Red,1,0,1,0,0
287,6,Black,0,1,1,0,0
288,3,Red,1,0,0,1,0
289,28,Black,0,1,1,0,0
290,34,Red,1,0,1,0,0
291,17,Black,0,1,0,1,0
292,8,Black,0,1,1,0,0
293,21,Red,1,0,0,1,0
294,11,Black,0,1,0,1,0
295,23,Red,1,0,0,1,0
296,33,Black,0,1,0,1,0
297,8,Black,0,1,1,0,0
298,12,Red,1,0,1,0,0
299,11,Black,0,1,0,1,0
300,26,Black,0,1,1,0,0
301,26,Black,0,1,1,0,0
302,13,Black,0,1,0,1,0
303,1,Red,1,0,0,1,0
304,13,Black,0,1,0,1,0
305,10,Black,0,1,1,0,0
306,36,Red,1,0,1,0,0
307,23,Red,1,0,0,1,0
308,3,Red,1,0,0,1,0
309,17,Black,0,1,0,1,0
310,17,Black,0,1,0,1,0
311,0,Green,0,0,0,0,1
312,35,Black,0,1,0,1,0
313,17,Black,0,1,0,1,0
314,14,Red,1,0,1,0,0
315,15,Black,0,1,0,1,0
316,5,Red,1,0,0,1,0
317,7,Red,1,0,0,1,0
318,1,Red,1,0,0,1,0
319,28,Black,0,1,1,0,0
320,33,Black,0,1,0,1,0
321,12,Red,1,0,1,0,0
322,20,Black,0,1,1,0,0
323,5,Red,1,0,0,1,0
324,12,Red,1,0,1,0,0
325,2,Black,0,1,1,0,0
326,29,Black,0,1,0,1,0
327,36,Red,1,0,1,0,0
328,9,Red,1,0,0,1,0
329,0,Green,0,0,0,0,1
330,30,Red,1,0,1,0,0
331,24,Black,0,1,1,0,0
332,29,Black,0,1,0,1,0
333,33,Black,0,1,0,1,0
334,19,Red,1,0,0,1,0
335,13,Black,0,1,0,1,0
336,29,Black,0,1,0,1,0
337,36,Red,1,0,1,0,0
338,20,Black,0,1,1,0,0
339,14,Red,1,0,1,0,0
340,0,Green,0,0,0,0,1
341,34,Red,1,0,1,0,0
342,6,Black,0,1,1,0,0
343,1,Red,1,0,0,1,0
344,24,Black,0,1,1,0,0
345,32,Red,1,0,1,0,0
346,21,Red,1,0,0,1,0
347,29,Black,0,1,0,1,0
348,10,Black,0,1,1,0,0
349,36,Red,1,0,1,0,0
350,1,Red,1,0,0,1,0
351,27,Red,1,0,0,1,0
352,21,Red,1,0,0,1,0
353,27,Red,1,0,0,1,0
354,34,Red,1,0,1,0,0
355,27,Red,1,0,0,1,0
356,27,Red,1,0,0,1,0
357,24,Black,0,1,1,0,0
358,21,Red,1,0,0,1,0
359,2,Black,0,1,1,0,0
360,7,Red,1,0,0,1,0
361,26,Black,0,1,1,0,0
362,23,Red,1,0,0,1,0
363,3,Red,1,0,0,1,0
364,1,Red,1,0,0,1,0
365,13,Black,0,1,0,1,0
366,26,Black,0,1,1,0,0
367,20,Black,0,1,1,0,0
368,35,Black,0,1,0,1,0
369,3,Red,1,0,0,1,0
370,21,Red,1,0,0,1,0
371,12,Red,1,0,1,0,0
372,11,Black,0,1,0,1,0
373,8,Black,0,1,1,0,0
374,23,Red,1,0,0,1,0
375,12,Red,1,0,1,0,0
376,30,Red,1,0,1,0,0
377,10,Black,0,1,1,0,0
378,28,Black,0,1,1,0,0
379,23,Red,1,0,0,1,0
380,4,Black,0,1,1,0,0
381,22,Black,0,1,1,0,0
382,17,Black,0,1,0,1,0
383,21,Red,1,0,0,1,0
384,5,Red,1,0,0,1,0
385,22,Black,0,1,1,0,0
386,9,Red,1,0,0,1,0
387,34,Red,1,0,1,0,0
388,3,Red,1,0,0,1,0
389,11,Black,0,1,0,1,0
390,13,Black,0,1,0,1,0
391,0,Green,0,0,0,0,1
392,13,Black,0,1,0,1,0
393,4,Black,0,1,1,0,0
394,32,Red,1,0,1,0,0
395,5,Red,1,0,0,1,0
396,33,Black,0,1,0,1,0
397,4,Black,0,1,1,0,0
398,7,Red,1,0,0,1,0
399,24,Black,0,1,1,0,0
400,15,Black,0,1,0,1,0
401,10,Black,0,1,1,0,0
402,15,Black,0,1,0,1,0
403,32,Red,1,0,1,0,0
404,28,Black,0,1,1,0,0
405,22,Black,0,1,1,0,0
406,17,Black,0,1,0,1,0
407,9,Red,1,0,0,1,0
408,29,Black,0,1,0,1,0
409,30,Red,1,0,1,0,0
410,1,Red,1,0,0,1,0
411,0,Green,0,0,0,0,1
412,15,Black,0,1,0,1,0
413,36,Red,1,0,1,0,0
414,7,Red,1,0,0,1,0
415,4,Black,0,1,1,0,0
416,9,Red,1,0,0,1,0
417,7,Red,1,0,0,1,0
418,27,Red,1,0,0,1,0
419,19,Red,1,0,0,1,0
420,0,Green,0,0,0,0,1
421,8,Black,0,1,1,0,0
422,15,Black,0,1,0,1,0
423,25,Red,1,0,0,1,0
424,23,Red,1,0,0,1,0
425,32,Red,1,0,1,0,0
426,6,Black,0,1,1,0,0
427,1,Red,1,0,0,1,0
428,11,Black,0,1,0,1,0
429,11,Black,0,1,0,1,0
430,10,Black,0,1,1,0,0
431,3,Red,1,0,0,1,0
432,32,Red,1,0,1,0,0
433,27,Red,1,0,0,1,0
434,32,Red,1,0,1,0,0
435,31,Black,0,1,0,1,0
436,5,Red,1,0,0,1,0
437,29,Black,0,1,0,1,0
438,3,Red,1,0,0,1,0
439,28,Black,0,1,1,0,0
440,21,Red,1,0,0,1,0
441,28,Black,0,1,1,0,0
442,20,Black,0,1,1,0,0
443,4,Black,0,1,1,0,0
444,22,Black,0,1,1,0,0
445,27,Red,1,0,0,1,0
446,28,Black,0,1,1,0,0
447,21,Red,1,0,0,1,0
448,36,Red,1,0,1,0,0
449,36,Red,1,0,1,0,0
450,5,Red,1,0,0,1,0
451,12,Red,1,0,1,0,0
452,27,Red,1,0,0,1,0
453,4,Black,0,1,1,0,0
454,20,Black,0,1,1,0,0
455,4,Black,0,1,1,0,0
456,10,Black,0,1,1,0,0
457,23,Red,1,0,0,1,0
458,18,Red,1,0,1,0,0
459,0,Green,0,0,0,0,1
460,23,Red,1,0,0,1,0
461,16,Red,1,0,1,0,0
462,19,Red,1,0,0,1,0
463,14,Red,1,0,1,0,0
464,25,Red,1,0,0,1,0
465,9,Red,1,0,0,1,0
466,12,Red,1,0,1,0,0
467,33,Black,0,1,0,1,0
468,16,Red,1,0,1,0,0
469,7,Red,1,0,0,1,0
470,17,Black,0,1,0,1,0
471,28,Black,0,1,1,0,0
472,26,Black,0,1,1,0,0
473,34,Red,1,0,1,0,0
474,14,Red,1,0,1,0,0
475,3,Red,1,0,0,1,0
476,21,Red,1,0,0,1,0
477,3,Red,1,0,0,1,0
478,2,Black,0,1,1,0,0
479,17,Black,0,1,0,1,0
480,36,Red,1,0,1,0,0
481,13,Black,0,1,0,1,0
482,14,Red,1,0,1,0,0
483,22,Black,0,1,1,0,0
484,22,Black,0,1,1,0,0
485,15,Black,0,1,0,1,0
486,10,Black,0,1,1,0,0
487,13,Black,0,1,0,1,0
488,2,Black,0,1,1,0,0
489,32,Red,1,0,1,0,0
490,26,Black,0,1,1,0,0
491,31,Black,0,1,0,1,0
492,13,Black,0,1,0,1,0
493,34,Red,1,0,1,0,0
494,31,Black,0,1,0,1,0
495,25,Red,1,0,0,1,0
496,28,Black,0,1,1,0,0
497,14,Red,1,0,1,0,0
498,9,Red,1,0,0,1,0
499,5,Red,1,0,0,1,0
500,4,Black,0,1,1,0,0
501,7,Red,1,0,0,1,0
502,13,Black,0,1,0,1,0
503,4,Black,0,1,1,0,0
504,21,Red,1,0,0,1,0
505,16,Red,1,0,1,0,0
506,25,Red,1,0,0,1,0
507,32,Red,1,0,1,0,0
508,7,Red,1,0,0,1,0
509,34,Red,1,0,1,0,0
510,17,Black,0,1,0,1,0
511,21,Red,1,0,0,1,0
512,21,Red,1,0,0,1,0
513,35,Black,0,1,0,1,0
514,25,Red,1,0,0,1,0
515,8,Black,0,1,1,0,0
516,27,Red,1,0,0,1,0
517,35,Black,0,1,0,1,0
518,13,Black,0,1,0,1,0
519,35,Black,0,1,0,1,0
520,21,Red,1,0,0,1,0
521,19,Red,1,0,0,1,0
522,3,Red,1,0,0,1,0
523,6,Black,0,1,1,0,0
524,27,Red,1,0,0,1,0
525,18,Red,1,0,1,0,0
526,35,Black,0,1,0,1,0
527,35,Black,0,1,0,1,0
528,21,Red,1,0,0,1,0
529,20,Black,0,1,1,0,0
530,10,Black,0,1,1,0,0
531,17,Black,0,1,0,1,0
532,19,Red,1,0,0,1,0
533,28,Black,0,1,1,0,0
534,24,Black,0,1,1,0,0
535,11,Black,0,1,0,1,0
536,31,Black,0,1,0,1,0
537,6,Black,0,1,1,0,0
538,26,Black,0,1,1,0,0
539,10,Black,0,1,1,0,0
540,27,Red,1,0,0,1,0
541,17,Black,0,1,0,1,0
542,3,Red,1,0,0,1,0
543,20,Black,0,1,1,0,0
544,17,Black,0,1,0,1,0
545,16,Red,1,0,1,0,0
546,23,Red,1,0,0,1,0
547,1,Red,1,0,0,1,0
548,6,Black,0,1,1,0,0
549,29,Black,0,1,0,1,0
550,6,Black,0,1,1,0,0
551,11,Black,0,1,0,1,0
552,29,Black,0,1,0,1,0
553,2,Black,0,1,1,0,0
554,10,Black,0,1,1,0,0
555,20,Black,0,1,1,0,0
556,12,Red,1,0,1,0,0
557,13,Black,0,1,0,1,0
558,36,Red,1,0,1,0,0
559,1,Red,1,0,0,1,0
560,24,Black,0,1,1,0,0
561,10,Black,0,1,1,0,0
562,18,Red,1,0,1,0,0
563,17,Black,0,1,0,1,0
564,29,Black,0,1,0,1,0
565,18,Red,1,0,1,0,0
566,0,Green,0,0,0,0,1
567,23,Red,1,0,0,1,0
568,20,Black,0,1,1,0,0
569,21,Red,1,0,0,1,0
570,21,Red,1,0,0,1,0
571,24,Black,0,1,1,0,0
572,14,Red,1,0,1,0,0
573,24,Black,0,1,1,0,0
574,25,Red,1,0,0,1,0
575,33,Black,0,1,0,1,0
576,32,Red,1,0,1,0,0
577,14,Red,1,0,1,0,0
578,25,Red,1,0,0,1,0
579,22,Black,0,1,1,0,0
580,9,Red,1,0,0,1,0
581,6,Black,0,1,1,0,0
582,22,Black,0,1,1,0,0
583,17,Black,0,1,0,1,0
584,26,Black,0,1,1,0,0
585,33,Black,0,1,0,1,0
586,17,Black,0,1,0,1,0
587,28,Black,0,1,1,0,0
588,3,Red,1,0,0,1,0
589,5,Red,1,0,0,1,0
590,28,Black,0,1,1,0,0
591,0,Green,0,0,0,0,1
592,3,Red,1,0,0,1,0
593,23,Red,1,0,0,1,0
594,11,Black,0,1,0,1,0
595,10,Black,0,1,1,0,0
596,2,Black,0,1,1,0,0
597,5,Red,1,0,0,1,0
598,20,Black,0,1,1,0,0
599,17,Black,0,1,0,1,0
600,11,Black,0,1,0,1,0
601,0,Green,0,0,0,0,1
602,8,Black,0,1,1,0,0
603,21,Red,1,0,0,1,0
604,19,Red,1,0,0,1,0
605,1,Red,1,0,0,1,0
606,21,Red,1,0,0,1,0
607,3,Red,1,0,0,1,0
608,0,Green,0,0,0,0,1
609,5,Red,1,0,0,1,0
610,14,Red,1,0,1,0,0
611,35,Black,0,1,0,1,0
612,15,Black,0,1,0,1,0
613,5,Red,1,0,0,1,0
614,21,Red,1,0,0,1,0
615,20,Black,0,1,1,0,0
616,17,Black,0,1,0,1,0
617,32,Red,1,0,1,0,0
618,7,Red,1,0,0,1,0
619,9,Red,1,0,0,1,0
620,8,Black,0,1,1,0,0
621,33,Black,0,1,0,1,0
622,34,Red,1,0,1,0,0
623,23,Red,1,0,0,1,0
624,20,Black,0,1,1,0,0
625,12,Red,1,0,1,0,0
626,35,Black,0,1,0,1,0
627,12,Red,1,0,1,0,0
628,34,Red,1,0,1,0,0
629,34,Red,1,0,1,0,0
630,14,Red,1,0,1,0,0
631,30,Red,1,0,1,0,0
632,15,Black,0,1,0,1,0
633,14,Red,1,0,1,0,0
634,36,Red,1,0,1,0,0
635,0,Green,0,0,0,0,1
636,17,Black,0,1,0,1,0
637,8,Black,0,1,1,0,0
638,12,Red,1,0,1,0,0
639,34,Red,1,0,1,0,0
640,31,Black,0,1,0,1,0
641,15,Black,0,1,0,1,0
642,36,Red,1,0,1,0,0
643,15,Black,0,1,0,1,0
644,6,Black,0,1,1,0,0
645,10,Black,0,1,1,0,0
646,16,Red,1,0,1,0,0
647,34,Red,1,0,1,0,0
648,5,Red,1,0,0,1,0
649,30,Red,1,0,1,0,0
650,28,Black,0,1,1,0,0
651,10,Black,0,1,1,0,0
652,22,Black,0,1,1,0,0
653,30,Red,1,0,1,0,0
654,10,Black,0,1,1,0,0
655,34,Red,1,0,1,0,0
656,25,Red,1,0,0,1,0
657,24,Black,0,1,1,0,0
658,17,Black,0,1,0,1,0
659,13,Black,0,1,0,1,0
660,27,Red,1,0,0,1,0
661,36,Red,1,0,1,0,0
662,18,Red,1,0,1,0,0
663,34,Red,1,0,1,0,0
664,20,Black,0,1,1,0,0
665,7,Red,1,0,0,1,0
666,13,Black,0,1,0,1,0
667,16,Red,1,0,1,0,0
668,12,Red,1,0,1,0,0
669,4,Black,0,1,1,0,0
670,33,Black,0,1,0,1,0
671,7,Red,1,0,0,1,0
672,13,Black,0,1,0,1,0
673,32,Red,1,0,1,0,0
674,34,Red,1,0,1,0,0
675,26,Black,0,1,1,0,0
676,23,Red,1,0,0,1,0
677,32,Red,1,0,1,0,0
678,2,Black,0,1,1,0,0
679,19,Red,1,0,0,1,0
680,3,Red,1,0,0,1,0
681,8,Black,0,1,1,0,0
682,35,Black,0,1,0,1,0
683,10,Black,0,1,1,0,0
684,17,Black,0,1,0,1,0
685,36,Red,1,0,1,0,0
686,13,Black,0,1,0,1,0
687,33,Black,0,1,0,1,0
688,19,Red,1,0,0,1,0
689,26,Black,0,1,1,0,0
690,16,Red,1,0,1,0,0
691,2,Black,0,1,1,0,0
692,1,Red,1,0,0,1,0
693,36,Red,1,0,1,0,0
694,4,Black,0,1,1,0,0
695,26,Black,0,1,1,0,0
696,32,Red,1,0,1,0,0
697,14,Red,1,0,1,0,0
698,25,Red,1,0,0,1,0
699,20,Black,0,1,1,0,0
700,12,Red,1,0,1,0,0
701,36,Red,1,0,1,0,0
702,36,Red,1,0,1,0,0
703,19,Red,1,0,0,1,0
704,32,Red,1,0,1,0,0
705,18,Red,1,0,1,0,0
706,31,Black,0,1,0,1,0
707,6,Black,0,1,1,0,0
708,12,Red,1,0,1,0,0
709,15,Black,0,1,0,1,0
710,11,Black,0,1,0,1,0
711,6,Black,0,1,1,0,0
712,31,Black,0,1,0,1,0
713,33,Black,0,1,0,1,0
714,27,Red,1,0,0,1,0
715,8,Black,0,1,1,0,0
716,28,Black,0,1,1,0,0
717,12,Red,1,0,1,0,0
718,18,Red,1,0,1,0,0
719,25,Red,1,0,0,1,0
720,8,Black,0,1,1,0,0
721,36,Red,1,0,1,0,0
722,20,Black,0,1,1,0,0
723,22,Black,0,1,1,0,0
724,34,Red,1,0,1,0,0
725,16,Red,1,0,1,0,0
726,10,Black,0,1,1,0,0
727,29,Black,0,1,0,1,0
728,17,Black,0,1,0,1,0
729,19,Red,1,0,0,1,0
730,36,Red,1,0,1,0,0
731,10,Black,0,1,1,0,0
732,17,Black,0,1,0,1,0
733,31,Black,0,1,0,1,0
734,10,Black,0,1,1,0,0
735,11,Black,0,1,0,1,0
736,15,Black,0,1,0,1,0
737,23,Red,1,0,0,1,0
738,33,Black,0,1,0,1,0
739,18,Red,1,0,1,0,0
740,30,Red,1,0,1,0,0
741,5,Red,1,0,0,1,0
742,31,Black,0,1,0,1,0
743,34,Red,1,0,1,0,0
744,1,Red,1,0,0,1,0
745,15,Black,0,1,0,1,0
746,27,Red,1,0,0,1,0
747,27,Red,1,0,0,1,0
748,15,Black,0,1,0,1,0
749,2,Black,0,1,1,0,0
750,26,Black,0,1,1,0,0
751,4,Black,0,1,1,0,0
752,22,Black,0,1,1,0,0
753,36,Red,1,0,1,0,0
754,11,Black,0,1,0,1,0
755,27,Red,1,0,0,1,0
756,36,Red,1,0,1,0,0
757,29,Black,0,1,0,1,0
758,36,Red,1,0,1,0,0
759,14,Red,1,0,1,0,0
760,20,Black,0,1,1,0,0
761,15,Black,0,1,0,1,0
762,30,Red,1,0,1,0,0
763,28,Black,0,1,1,0,0
764,35,Black,0,1,0,1,0
765,2,Black,0,1,1,0,0
766,29,Black,0,1,0,1,0
767,0,Green,0,0,0,0,1
768,28,Black,0,1,1,0,0
769,36,Red,1,0,1,0,0
770,12,Red,1,0,1,0,0
771,28,Black,0,1,1,0,0
772,5,Red,1,0,0,1,0
773,10,Black,0,1,1,0,0
774,28,Black,0,1,1,0,0
775,24,Black,0,1,1,0,0
776,29,Black,0,1,0,1,0
777,26,Black,0,1,1,0,0
778,5,Red,1,0,0,1,0
779,12,Red,1,0,1,0,0
780,0,Green,0,0,0,0,1
781,10,Black,0,1,1,0,0
782,31,Black,0,1,0,1,0
783,10,Black,0,1,1,0,0
784,3,Red,1,0,0,1,0
785,21,Red,1,0,0,1,0
786,1,Red,1,0,0,1,0
787,36,Red,1,0,1,0,0
788,6,Black,0,1,1,0,0
789,19,Red,1,0,0,1,0
790,32,Red,1,0,1,0,0
791,33,Black,0,1,0,1,0
792,36,Red,1,0,1,0,0
793,2,Black,0,1,1,0,0
794,5,Red,1,0,0,1,0
795,21,Red,1,0,0,1,0
796,8,Black,0,1,1,0,0
797,20,Black,0,1,1,0,0
798,1,Red,1,0,0,1,0
799,36,Red,1,0,1,0,0
800,33,Black,0,1,0,1,0
801,36,Red,1,0,1,0,0
802,19,Red,1,0,0,1,0
803,20,Black,0,1,1,0,0
804,20,Black,0,1,1,0,0
805,2,Black,0,1,1,0,0
806,4,Black,0,1,1,0,0
807,34,Red,1,0,1,0,0
808,9,Red,1,0,0,1,0
809,32,Red,1,0,1,0,0
810,31,Black,0,1,0,1,0
811,22,Black,0,1,1,0,0
812,14,Red,1,0,1,0,0
813,5,Red,1,0,0,1,0
814,20,Black,0,1,1,0,0
815,15,Black,0,1,0,1,0
816,26,Black,0,1,1,0,0
